loss,acc,val_acc
4.7915,0.1999,0.5569
3.4254,0.4201,0.6389
2.8153,0.4942,0.6811
2.4512,0.5378,0.7137
2.2084,0.5686,0.7396
2.0345,0.5910,0.7561
1.9060,0.6094,0.7706
1.7980,0.6264,0.7818
1.7079,0.6402,0.7940
1.6378,0.6515,0.8013
1.5759,0.6600,0.8041
1.5220,0.6681,0.8126
1.4762,0.6748,0.8153
1.4385,0.6809,0.8168
1.3991,0.6873,0.8230
1.3661,0.6925,0.8221
1.3389,0.6980,0.8244
1.3096,0.7012,0.8279
1.2856,0.7071,0.8300
1.2662,0.7096,0.8302
1.2498,0.7109,0.8315
1.2240,0.7152,0.8323
1.2054,0.7195,0.8344
1.1932,0.7226,0.8350
1.1797,0.7237,0.8356
1.1624,0.7267,0.8378
1.1473,0.7290,0.8379
1.1337,0.7311,0.8355
1.1230,0.7326,0.8379
1.1081,0.7355,0.8397
1.1028,0.7357,0.8405
1.0904,0.7382,0.8392
1.0817,0.7398,0.8415
1.0731,0.7400,0.8412
1.0639,0.7431,0.8403
1.0529,0.7452,0.8413
1.0529,0.7437,0.8418
1.0398,0.7463,0.8435
1.0333,0.7477,0.8417
1.0281,0.7477,0.8417
1.0215,0.7486,0.8423
1.0123,0.7512,0.8427
1.0094,0.7510,0.8445
1.0050,0.7507,0.8447
1.0013,0.7520,0.8442
0.9903,0.7533,0.8452
0.9889,0.7546,0.8445
0.9844,0.7544,0.8440
0.9769,0.7569,0.8438
0.9761,0.7567,0.8427
0.9703,0.7570,0.8439
0.9717,0.7561,0.8442
0.9613,0.7582,0.8449
0.9551,0.7599,0.8432
0.9499,0.7613,0.8460
0.9452,0.7621,0.8468
0.9473,0.7615,0.8442
0.9446,0.7611,0.8456
0.9413,0.7614,0.8471
0.9352,0.7625,0.8462
0.9370,0.7623,0.8471
0.9342,0.7631,0.8461
0.9293,0.7636,0.8468
0.9263,0.7645,0.8464
0.9246,0.7647,0.8468
0.9180,0.7654,0.8473
0.9158,0.7660,0.8463
0.9127,0.7670,0.8466
0.9170,0.7660,0.8469
0.9071,0.7677,0.8472
0.9113,0.7669,0.8449
0.9039,0.7666,0.8453
0.9016,0.7690,0.8454
0.8999,0.7679,0.8478
0.9012,0.7683,0.8473
0.8995,0.7684,0.8469
0.8953,0.7688,0.8468
0.8931,0.7693,0.8473
0.8935,0.7694,0.8473
0.8866,0.7712,0.8475
0.8878,0.7708,0.8458
0.8809,0.7713,0.8452
0.8839,0.7717,0.8458
0.8845,0.7712,0.8464
0.8828,0.7713,0.8451
